airtable_id,name,active,type,notes
rec151HwtkDZhzPUb,Freezer  B (Garage),true,,
rec2Keaibc74vM7BH,Rooted Psyche F,true,,Farmers Market
rec2PUYav3xcFOera,Fulfillment,true,,
rec2vUujZ5CYkEAzq,Consumed,true,,
rec5yepQsFWPbAYwF,Dark Room,true,,
rec8inZVweILZUJKv,Expired,true,,
rec8wChW6yuYDl51g,Products Storage,true,,
recGharn8L0NjbD1P,Rooted Psyche E,true,,
recIJAGJLaRV4yPIY,Packaging,true,,
recJFRGn38n905kXT,Rooted Psyche C,true,,
recJxAz3OdFSxvs0l,Fridge,true,,
recUfoniFfqsKltMa,Rooted Psyche B,true,,
recUjG8MBgAL5aNLi,Rooted Psyche A,true,,
recdeDjYObsTOjMdJ,Freeze Dryer,true,,
reckf5T55y351obTn,Fridge A (Garage),true,,
reclv2FpZbGhhf1YP,Freezer A (Garage),true,,
reclvagEz0Xshu7uX,Backpack,true,,
recmsz1EhK9NRKLYr,Compost,true,,
recqXlka6ueVBOWIc,New Lots,true,,
recrz1MNPPquKoGUc,Freezer,true,,
rectvg66AQi3oswec,Fruiting Chamber,true,,
recvMfIb6WkJh5iIh,Farmers Market,true,,
recwRFW2aHlJivoX3,Shipped,true,,
recxTjNSUPu1LTV0h,Fridge B (Garage),true,,
recxwDqyt5Ae5IiZK,Fruiting Chamber (Trailer),true,,
recyOickGdzn4dQV0,Rooted Psyche D,true,,
recyOnO747Yc7ZYuk,Inoculation Lab,true,,
reczh8HoC23mrTW3H,Missing or Lost,,,
