airtable_id,lot_recipe_component_id,component_role,component_weight_lb,component_percent,sort_order,notes
rec0wJ83oVWc0twCz,LRC-260624-twCz,grain,1.5,,1,Created from sterilization run planned_recipe
rec4LuVZvX4RA5Taj,LRC-260624-5Taj,grain,1.5,,1,Created from sterilization run planned_recipe
rec4etvHjmG1Nz3pC,LRC-260629-z3pC,substrate,5,,1,Created from sterilization run planned_recipe
rec4nauZxFQh9f5Q5,LRC-260624-f5Q5,grain,2,0,1,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
rec63ieruYKfmafDb,LRC-260624-afDb,grain,1.5,,1,Created from sterilization run planned_recipe
rec77TdgbqmodSZ6S,LRC-260706-SZ6S,grain,1,,1,Derived from Spawn to Bulk grain input
rec7qTElK5SxmdVmn,LRC-260624-dVmn,grain,1.5,,1,Created from sterilization run planned_recipe
rec8Pbh01xK3fQ44E,LRC-260624-Q44E,grain,2,0,1,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
recBYLKvyTV7gBqbl,LRC-260624-Bqbl,grain,1.5,,1,Created from sterilization run planned_recipe
recCCLpahWHgpik23,LRC-260624-ik23,grain,1.5,,1,Created from sterilization run planned_recipe
recCu9iKZc1W7ESfE,LRC-260624-ESfE,grain,1.5,,1,Created from sterilization run planned_recipe
recE4QNm5bzYjHEVO,LRC-260629-HEVO,substrate,3,0,2,Created from multi_recipe item component plan on sterilization run RUN-260629-HSCv
recEwH3oXGYsMLMDh,LRC-260624-LMDh,substrate,3,0,2,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
recFZbcfyA1nrErbm,LRC-260706-Erbm,substrate,7.5,,2,Derived from Spawn to Bulk substrate input
recFiBx7uyPoupde1,LRC-260624-pde1,substrate,3,0,2,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
recHyawbyToSpmIBR,LRC-260706-mIBR,grain,1,,1,Derived from Spawn to Bulk grain input
recIRHskhnOpNH1GN,LRC-260706-H1GN,substrate,7.5,,2,Derived from Spawn to Bulk substrate input
recKI60Fu2FTqVCC7,LRC-260624-VCC7,grain,1.5,,1,Created from sterilization run planned_recipe
