airtable_id,lot_id,item_name_mat,qty,unit_size,status,parents_json,operator,created_at,use_by,action,item_category_mat,process_type_mat,strain_species_strain_mat,vendor_name_mat,lc_volume_ml,output_count,fruiting_goal,flush_no,harvest_weight_g,notes,syringe_count,source_type,vendor_name,vendor_batch,received_date,total_volume_ml,ui_error,ui_error_at,remaining_volume_ml,fresh_tray_count,frozen_tray_count,casing_applied_at,casing_notes,casing_qty_used_g,label_template,override_inoc_time,inoculated_at,override_spawn_time,spawned_at,sterilized_at,plate_count,plate_group_id,retired_at,beganfruiting_at,firstharvested_at,lastharvested_at
rec04533gFaZRodNe,LOT-260516-odNe,Small Masters Mix 75/25,1,3,Fridge,"[""recmoNKT8WMOQEWKD"",""recFA07XISHru06Wa"",""recCFIoJHnO8pa5cp"",""recMWmMAomB9DcFaY"",""recYWNToc4VtBYeKF""]",,2026-05-16T23:42:38.000Z,2026-08-16,,fruiting_block,,Pearl Oyster,Fungaia,,,,,,,,,,,,,,,,,,,,,Bulk_Created,,,,2026-05-16T23:42:37.622Z,,,,,,,
rec05Odpc7B4xEZtd,LOT-260424-EZtd,Wild Bird Seed,1,2,Consumed,,operator1.email.address@mybusiness.com,2026-04-24T20:23:02.000Z,2026-07-24,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-24T07:30:00.000Z,,,,,,
rec0ZbNh7jik9qini,LOT-260616-qini,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
rec147K0RiZBNkLe2,LOT-260519-kLe2,Masters Mix 75/25,1,7.5,Sterilized,,operator1.email.address@mybusiness.com,2026-05-19T18:36:16.000Z,2026-08-19,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-19T18:36:15.927Z,,,,,,
rec1D4BqvDwCASibG,LOT-260513-SibG,Cordyceps A,1,500,Fruiting,,,2026-05-13T16:47:37.000Z,2026-08-13,,cordyceps_substrate,Sterilize,Cordyceps,Fungaia,,,,,,,,,Fungaia,,,515,,,515,,,,,,Cordyceps_Substrate_Inoculated,,2026-05-13T17:14:12.272Z,,,2026-05-13T16:47:37.020Z,,,,,,
rec1H2qUGTb4p5cqY,LOT-260512-5cqY,Cordyceps B,1,500,Fruiting,,,2026-05-12T15:21:55.000Z,2026-08-12,,cordyceps_substrate,Sterilize,Cordyceps,Fungaia,,,,,,,,,Fungaia,,,510,,,510,,,,,,Cordyceps_Substrate_Inoculated,,2026-05-12T15:39:54.277Z,,,2026-05-12T15:21:55.005Z,,,,,,
rec1MGWuyG1bG08aA,LOT-260422-08aA,Coco Verm Gypsum,1,5,Consumed,,,2026-04-22T12:29:05.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:29:05.101Z,,,,,,
rec1X28ao4DRCf2e4,LOT-260422-f2e4,Coco Verm Gypsum,1,2.5,Pasteurized,,,2026-04-22T12:28:53.000Z,2026-07-22,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22T12:28:52.942Z,,,,,,
rec1mfUCKWdZXJYeU,LOT-260424-JYeU,Wild Bird Seed,1,2,Fridge,,operator1.email.address@mybusiness.com,2026-04-24T20:23:02.000Z,2026-07-24,,grain,Sterilize,Lion’s Mane,MYYCO,,,,,,,,,MYYCO,,,5,,,5,,,,,,Grain_Inoculated,,2026-04-24T20:30:39.015Z,,,2026-04-24T07:30:00.000Z,,,,,,
rec26j5zhA8ZVMXGb,LOT-260424-MXGb,Wild Bird Seed,1,2,Consumed,,operator1.email.address@mybusiness.com,2026-04-24T20:23:02.000Z,2026-07-24,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-24T07:30:00.000Z,,,,,,
rec2GfTpiWX5HpxJB,LOT-260525-pxJB,Coco Verm Gypsum,1,5,Consumed,,operator1.email.address@mybusiness.com,2026-05-25T18:58:07.000Z,2026-08-25,,substrate,Pasteurize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-25T18:58:06.442Z,,,,,,
rec2grEmnDMXTp5dk,LOT-260616-p5dk,Wild Bird Seed,1,1.75,Sterilized,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
rec34emtMzGgC51ad,LOT-260513-51ad,Cordyceps A,1,500,Fruiting,,,2026-05-13T16:47:37.000Z,2026-08-13,,cordyceps_substrate,Sterilize,Cordyceps,Fungaia,,,,,,,,,Fungaia,,,505,,,505,,,,,,Cordyceps_Substrate_Inoculated,,2026-05-13T16:55:46.935Z,,,2026-05-13T16:47:37.020Z,,,,,,
