airtable_id,print_id,source_kind,print_status,label_type,error_msg,created_at,claimed_by,claimed_at,printed_by,printed_at,pdf_path
rec0CHNSN1ZvxGqwV,PRINT-260424-GqwV,lot,Printed,Grain_Inoculated,,2026-04-24T20:30:44.000Z,default,2026-04-24T20:30:49.214Z,default,2026-04-24T20:30:49.960Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-04-24T20-30-49-211Z_rec0CHNSN1ZvxGqwV.pdf
rec0Ip2QpA8XQLTeA,PRINT-260514-LTeA,lot,Printed,Bulk_Created,,2026-05-14T21:13:16.000Z,default,2026-05-14T21:13:24.150Z,default,2026-05-14T21:13:24.839Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-05-14T21-13-24-149Z_rec0Ip2QpA8XQLTeA.pdf
rec1lHNKHyXpkSPIu,PRINT-260426-SPIu,product,Printed,Product_Package,,2026-04-26T23:24:08.000Z,trays,2026-04-26T23:24:11.278Z,trays,2026-04-26T23:24:11.963Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\trays\label_2026-04-26T23-24-11-276Z_rec1lHNKHyXpkSPIu.pdf
rec1qVuW36jU2L7UW,PRINT-260502-L7UW,product,Printed,Product_Package,,2026-05-02T17:26:43.000Z,trays,2026-05-02T17:26:51.254Z,trays,2026-05-02T17:26:52.010Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\trays\label_2026-05-02T17-26-51-252Z_rec1qVuW36jU2L7UW.pdf
rec26IMcgkMOPk3T2,PRINT-260428-k3T2,product,Printed,Product_Package,,2026-04-28T18:36:51.000Z,default,2026-04-28T18:36:54.026Z,default,2026-04-28T18:36:54.688Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-04-28T18-36-54-025Z_rec26IMcgkMOPk3T2.pdf
rec3Apbnp3txbFr8g,PRINT-260614-Fr8g,product,Printed,Product_Package,,2026-06-14T20:41:54.000Z,trays,2026-06-14T20:42:02.049Z,trays,2026-06-14T20:42:02.911Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\trays\label_2026-06-14T20-42-02-047Z_rec3Apbnp3txbFr8g.pdf
rec3CBNPYW3MeMSad,PRINT-260523-MSad,product,Printed,Product_Package,,2026-05-23T00:01:11.000Z,trays,2026-05-23T00:01:16.381Z,trays,2026-05-23T00:01:17.154Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\trays\label_2026-05-23T00-01-16-379Z_rec3CBNPYW3MeMSad.pdf
rec3Ct4nkon6kOZ4D,PRINT-260428-OZ4D,product,Printed,Product_Package,,2026-04-28T20:36:28.000Z,default,2026-04-28T20:36:28.143Z,default,2026-04-28T20:36:32.156Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-04-28T20-36-28-141Z_rec3Ct4nkon6kOZ4D.pdf
rec3wCmQwkwUnPH7r,PRINT-260502-PH7r,product,Printed,Product_Package,,2026-05-02T17:07:36.000Z,trays,2026-05-02T17:07:36.564Z,trays,2026-05-02T17:07:37.505Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\trays\label_2026-05-02T17-07-36-561Z_rec3wCmQwkwUnPH7r.pdf
rec4aWwpkbhcfFsCc,PRINT-260424-FsCc,product,Printed,Product_Package,,2026-04-24T18:45:17.000Z,trays,2026-04-24T18:45:24.302Z,trays,2026-04-24T18:45:25.333Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\trays\label_2026-04-24T18-45-24-299Z_rec4aWwpkbhcfFsCc.pdf
rec4nhbSzZ23ygadB,PRINT-260516-gadB,lot,Printed,Bulk_Created,,2026-05-16T23:41:30.000Z,default,2026-05-16T23:41:38.952Z,default,2026-05-16T23:41:39.640Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-05-16T23-41-38-950Z_rec4nhbSzZ23ygadB.pdf
rec53TqSsuiShPxrV,PRINT-260512-PxrV,lot,Printed,Cordyceps_Substrate_Inoculated,,2026-05-12T15:40:55.000Z,default,2026-05-12T15:41:04.524Z,default,2026-05-12T15:41:05.503Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-05-12T15-41-04-522Z_rec53TqSsuiShPxrV.pdf
rec5CdyYOQOnhO1K5,PRINT-260505-O1K5,product,Printed,Product_Package,,2026-05-05T18:33:06.000Z,trays,2026-05-05T18:35:57.628Z,trays,2026-05-05T18:35:58.470Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\trays\label_2026-05-05T18-35-57-626Z_rec5CdyYOQOnhO1K5.pdf
