airtable_id,strain_id,active,species_strain,regulated,product_use
rec2aHdi8wjdM5vuV,STR-Malabar,true,Malabar,true,Sacrament
rec4u3shq1dBitsnG,STR-Melmak,true,Melmak,true,Sacrament
rec7lLl0rRBhkwO6H,STR-BronzeReishi,true,Bronze Reishi,,Functional
rec91mqZG1AZdhopu,STR-Hillbilly,true,Hillbilly,true,Sacrament
rec93CSLs6HCiEGlJ,STR-Mazatapec,true,Mazatapec,true,Sacrament
rec9VtEcLKj7GKJCS,STR-JackFrost,true,Jack Frost,true,Sacrament
recAJwZGQuVlEUFpb,STR-PearlOyster,true,Pearl Oyster,,Gourmet
recAQPvUMlnLGB3e4,STR-Enigma,true,Enigma,true,Sacrament
recCh2Z1gu1BRgW5x,STR-BlackPearlKingOyster,true,Black Pearl King Oyster,,Gourmet
recDx372iJMTY13nJ,STR-BlueMeanie,true,Blue Meanie,true,Sacrament
recFnCOoLSfmoATeP,STR-GoldenTeacher,true,Golden Teacher,true,Sacrament
recHQHphF8J6rBHPE,STR-BranchedOyster,true,Branched Oyster,,Gourmet
recJOsHuiUV8NUynU,STR-PsilocybeNatalensis,true,Psilocybe Natalensis,true,Sacrament
recUtuEgscPfh2xk7,STR-Cordyceps,true,Cordyceps,,Functional
recV9ephQ5NJProZu,STR-Chestnut,true,Chestnut,,Gourmet
recWQlBg26y23ZRWT,STR-TurkeyTail,true,Turkey Tail,,Functional
reccTSC4iIARZKDwn,STR-CambodianGold,true,Cambodian Gold,true,Sacrament
rechTbpjL4Nt9Tks0,STR-PinkOyster,true,Pink Oyster,,Gourmet
recjFKL1WgHB81QQZ,STR-AlbinoMelmak,true,Albino Melmak,true,Sacrament
reckNIjMtUO20q0f9,STR-LionsMane,true,Lion’s Mane,,Gourmet/Functional
recmu5LgteQ6xVWwG,STR-PE,true,Penis Envy,true,Sacrament
recrI6ixjt46LJgoI,STR-APE,true,Albino Penis Envy,true,Sacrament
recszNf2WlZjSQqyL,STR-BlueOyster,true,Blue Oyster,,Gourmet
recuFO98qhzhIFUmx,STR-Cambodian,true,Cambodian,true,Sacrament
recw292ouRGk021S6,STR-BPlus,true,B Plus (B Positive),true,Sacrament
recwa4hnchhLcvKQX,STR-BlueyVuitton,true,Bluey Vuitton,true,Sacrament
recx8dOsjCeAnkoBU,STR-KingOyster,true,King Oyster,,Gourmet
recxZKdhM1v5Wh51M,STR-RedReishi,true,Red Reishi,,Functional
recyRw3GyG1C63PQi,STR-Trinity,true,Trinity,true,Sacrament
recypkK5H1hqtX4g9,STR-Amazonian,true,Amazonian,true,Sacrament
