a_airtable_id,b_airtable_id
rec2SdYsvWlBWeXTJ,recfTKQt97CPJYj2M
rec3JWM7XH23PE0B7,recxU7Sp5qlyHd5Ce
rec7qW6Kj6SXkMiVa,rec6Fc3fiYmEnlQzd
rec8akw9SO6vn4taD,recZZPMcrQpkcUFXv
recDL5FXDzVHmhW5p,recjPqp2UH3yKRg4n
recNVvSo4utbtuijQ,recv7JbrkbddIKYBQ
recPVAmM7vGHZqoju,recA1cEC9hIc7MXzp
recUXAWIujGfJIXVX,recH2LOLClpxeE3zO
recY92zRByXP45TKO,rectzsA2X0Y490AsE
recYaQqVCw3FqwgSg,recr3acYNMXy9fz6c
recbAFwF3CGr5ZDYx,recTEJwkdNN6hSvcJ
recdHuR3fahHG6J5O,recer483vxFZJnNYT
recduDfmSDHrL9pgG,recs0nGpAMQcsHhW4
recfP2YFJQrDo5K14,recZm7U14atzF7Uyn
reci6eXxRhwiVmGjw,recOcbDldTKj2rSiB
reckf6nA58EoH3T96,recvN5Wl9mXPxVEqa
recqihspyqCqY9Bt8,recrKZhNqV5NjsbJT
recuECgsM5qjLKOos,recIuUpWM4VtZkQ24
