airtable_id,component_id,active,component_set,component_role,unit_size_lb,default_weight_lb,default_percent,sort_order,notes
rec2LRYDi4BzZgalp,IRC-260623-galp,true,,lc,,,,,
rec33JZCIIVQVdjra,IRC-260623-djra,true,WBS_CVG_RIZ1,grain,5,2,,1,
recCl6NU5hqNXDzxR,IRC-260623-DzxR,true,WBS_CVG_RIZ1,substrate,3,1.5,,2,
recCp3BFu8nwy6N03,IRC-260623-6N03,true,,casing,,,,,
recOvV84vHOMfPH0o,IRC-260623-PH0o,,WBS_CVG_V2,grain,5,2,,1,
recQGhJ3w0UOTnJZo,IRC-260623-nJZo,,,grain,,,,,
recTp1b96JvCOQbWT,IRC-260623-QbWT,,,grain,,,,,
recVgaSAr6FP7Gjk5,IRC-260623-Gjk5,true,WBS_CVG_RIZ1,grain,3,1.5,,1,
recct2FvwlN4mcu1S,IRC-260623-cu1S,true,,grain,,,,,
recdePPIzqm5LaHOu,IRC-260623-aHOu,,WBS_CVG_V2,substrate,5,3,,2,
recjauxJUndsdOuNK,IRC-260623-OuNK,true,,agar,,,,,
recrl51dkaMNQJGvI,IRC-260623-JGvI,true,,substrate,,,,,
recwGWGpMX2iPlzxV,IRC-260623-lzxV,true,WBS_CVG_RIZ1,substrate,5,3,,2,
recwnKHoxJxt0tffZ,IRC-260623-tffZ,true,,agar,,,,,
recxnDcW69OSnJBwI,IRC-260623-JBwI,true,,substrate,,,,,
recyZCWibn87uq0S6,IRC-260623-q0S6,true,,substrate,,,,,
recya9920WDq2Ytp9,IRC-260623-Ytp9,true,,substrate,,,,,
recz70cia2kV7Du9I,IRC-260623-Du9I,true,,substrate,,,,,
