airtable_id,lot_recipe_component_id,component_role,component_weight_lb,component_percent,sort_order,notes
rec0wJ83oVWc0twCz,LRC-260624-twCz,grain,1.5,,1,Created from sterilization run planned_recipe
rec1CVjct7FnelWCH,LRC-260716-lWCH,substrate,2.5,,2,Derived from Spawn to Bulk substrate input
rec1MpZHVImh70WPs,LRC-260716-0WPs,substrate,7.5,,1,Created from sterilization run planned_recipe
rec1PSWzw5CnewqYc,LRC-260716-wqYc,substrate,2.5,,1,Created from sterilization run planned_recipe
rec30fVz2qSURH3VR,LRC-260716-H3VR,substrate,2.5,,1,Created from sterilization run planned_recipe
rec4LuVZvX4RA5Taj,LRC-260624-5Taj,grain,1.5,,1,Created from sterilization run planned_recipe
rec4Yvc69MW2qImyS,LRC-260716-ImyS,substrate,2.5,,1,Created from sterilization run planned_recipe
rec4aEL31WQnhZaDg,LRC-260716-ZaDg,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
rec4etvHjmG1Nz3pC,LRC-260629-z3pC,substrate,5,,1,Created from sterilization run planned_recipe
rec4nauZxFQh9f5Q5,LRC-260624-f5Q5,grain,2,0,1,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
rec63ieruYKfmafDb,LRC-260624-afDb,grain,1.5,,1,Created from sterilization run planned_recipe
rec6ZX99mL2V2qRCf,LRC-260716-qRCf,substrate,2.5,,1,Created from sterilization run planned_recipe
rec6b1MC1R9bBMdvE,LRC-260716-MdvE,substrate,7.5,,1,Created from sterilization run planned_recipe
rec77TdgbqmodSZ6S,LRC-260706-SZ6S,grain,1,,1,Derived from Spawn to Bulk grain input
rec7KyK67NMkRzRDF,LRC-260716-zRDF,substrate,2.5,,1,Created from sterilization run planned_recipe
rec7qTElK5SxmdVmn,LRC-260624-dVmn,grain,1.5,,1,Created from sterilization run planned_recipe
rec8FvsyrUxlw9msl,LRC-260716-9msl,substrate,2.5,,1,Created from sterilization run planned_recipe
rec8Pbh01xK3fQ44E,LRC-260624-Q44E,grain,2,0,1,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
rec8m9AigsYw0u7iN,LRC-260716-u7iN,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
recARzhJPuhITGepP,LRC-260716-GepP,substrate,2.5,,1,Created from sterilization run planned_recipe
recAt1NTILnKvWe1Q,LRC-260716-We1Q,substrate,7.5,,1,Created from sterilization run planned_recipe
recBYLKvyTV7gBqbl,LRC-260624-Bqbl,grain,1.5,,1,Created from sterilization run planned_recipe
recC2m6UsvMIakpbk,LRC-260716-kpbk,substrate,2.5,,1,Created from sterilization run planned_recipe
recCCLpahWHgpik23,LRC-260624-ik23,grain,1.5,,1,Created from sterilization run planned_recipe
recCu9iKZc1W7ESfE,LRC-260624-ESfE,grain,1.5,,1,Created from sterilization run planned_recipe
recE4QNm5bzYjHEVO,LRC-260629-HEVO,substrate,3,0,2,Created from multi_recipe item component plan on sterilization run RUN-260629-HSCv
recEwH3oXGYsMLMDh,LRC-260624-LMDh,substrate,3,0,2,Created from multi_recipe item component plan on sterilization run RUN-260623-kun8
recFZbcfyA1nrErbm,LRC-260706-Erbm,substrate,7.5,,2,Derived from Spawn to Bulk substrate input
recFdGXV4tnywT4OY,LRC-260716-T4OY,grain,0.6666666666666666,,1,Derived from Spawn to Bulk grain input
