airtable_id,lot_id,item_name_mat,qty,unit_size,status,parents_json,operator,created_at,use_by,action,item_category_mat,process_type_mat,strain_species_strain_mat,vendor_name_mat,lc_volume_ml,output_count,fruiting_goal,flush_no,harvest_weight_g,notes,syringe_count,source_type,vendor_name,vendor_batch,received_date,total_volume_ml,ui_error,ui_error_at,remaining_volume_ml,fresh_tray_count,frozen_tray_count,casing_applied_at,casing_notes,casing_qty_used_g,label_template,override_inoc_time,inoculated_at,override_spawn_time,spawned_at,sterilized_at,plate_count,plate_group_id,retired_at,beganfruiting_at,firstharvested_at,lastharvested_at
rec0ZbNh7jik9qini,LOT-260616-qini,Wild Bird Seed,1,1.75,Consumed,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
rec0b4jgMlayBlkCI,LOT-260622-lkCI,Coco Verm Gypsum,1,5,Pasteurized,,operator1.email.address@mybusiness.com,2026-06-22T16:35:31.000Z,2026-09-22,,substrate,Pasteurize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22T16:35:00.000Z,,,,,,
rec0t4tXf7pubsWcD,LOT-260716-sWcD,Hardwood Substrate Bag,1,2.5,Consumed,,operator1.email.address@mybusiness.com,2026-07-16T19:09:20.000Z,2026-10-16,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T19:09:00.000Z,,,,,,
rec147K0RiZBNkLe2,LOT-260519-kLe2,Masters Mix 75/25,1,7.5,Retired,,operator1.email.address@mybusiness.com,2026-05-19T18:36:16.000Z,2026-08-19,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-19T18:36:15.927Z,,,2026-07-13T21:00:18.349Z,,,
rec20fCpEhmseFJRb,LOT-260716-FJRb,Hardwood Substrate Bag,1,2.5,Sterilized,,operator1.email.address@mybusiness.com,2026-07-16T19:09:20.000Z,2026-10-16,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T19:09:00.000Z,,,,,,
rec25ehrQ6COisbWp,LOT-260622-sbWp,Coco Verm Gypsum,1,5,Pasteurized,,operator1.email.address@mybusiness.com,2026-06-22T16:35:31.000Z,2026-09-22,,substrate,Pasteurize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22T16:35:00.000Z,,,,,,
rec2GfTpiWX5HpxJB,LOT-260525-pxJB,Coco Verm Gypsum,1,5,Consumed,,operator1.email.address@mybusiness.com,2026-05-25T18:58:07.000Z,2026-08-25,,substrate,Pasteurize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-25T18:58:06.442Z,,,,,,
rec2grEmnDMXTp5dk,LOT-260616-p5dk,Wild Bird Seed,1,1.75,Consumed,,operator1.email.address@mybusiness.com,2026-06-16T16:51:28.000Z,2026-09-15,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T16:51:00.000Z,,,,,,
rec2xEuGN2Z0Jk4Ev,LOT-260716-k4Ev,Hardwood Substrate Bag,1,2.5,Sterilized,,operator1.email.address@mybusiness.com,2026-07-16T19:09:20.000Z,2026-10-16,,substrate,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T19:09:00.000Z,,,,,,
rec3BAAJeezGfrTT0,LOT-260624-rTT0,Spawn Bag,1,1.5,Sterilized,,operator2.email.address@mybusiness.com,2026-06-24T22:04:28.000Z,2026-09-24,,grain,Sterilize,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24T22:04:27.843Z,,,,,,
