airtable_id,print_id,source_kind,print_status,label_type,error_msg,created_at,claimed_by,claimed_at,printed_by,printed_at,pdf_path
rec02CSyWtJIjjZig,PRINT-260629-jZig,steri_sheet,Printed,Sterilizer_Sheet,,2026-06-29T20:53:11.000Z,default,2026-06-29T20:53:11.723Z,default,2026-06-29T20:53:13.252Z,
rec131ZNGWYeOnLcm,PRINT-260711-nLcm,product,Printed,Product_Package_Sample,,2026-07-11T19:52:58.000Z,default,2026-07-11T20:29:20.589Z,default,2026-07-11T20:29:21.234Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-07-11T20-29-20-587Z_rec131ZNGWYeOnLcm.pdf
rec1jzlsG971oVGI4,PRINT-260713-VGI4,product,Printed,Product_Package_Sample,,2026-07-13T22:29:13.000Z,default,2026-07-13T22:29:13.501Z,default,2026-07-13T22:29:14.166Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-07-13T22-29-13-500Z_rec1jzlsG971oVGI4.pdf
rec20dIP2Fj5OAIYU,PRINT-260618-AIYU,product,Printed,Product_Package,,2026-06-18T21:06:40.000Z,default,2026-06-18T21:06:46.075Z,default,2026-06-18T21:06:49.950Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-06-18T21-06-46-074Z_rec20dIP2Fj5OAIYU.pdf
rec2SdYsvWlBWeXTJ,PRINT-260716-eXTJ,lot,Printed,Bulk_Created,,2026-07-16T19:32:17.000Z,default,2026-07-16T19:32:20.711Z,default,2026-07-16T19:32:21.321Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-07-16T19-32-20-706Z_rec2SdYsvWlBWeXTJ.pdf
rec2oMbh5sCzLuBRh,PRINT-260715-uBRh,product,Printed,Product_Package,,2026-07-15T19:19:51.000Z,trays,2026-07-15T19:19:53.340Z,trays,2026-07-15T19:19:54.061Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\trays\label_2026-07-15T19-19-53-335Z_rec2oMbh5sCzLuBRh.pdf
rec3Apbnp3txbFr8g,PRINT-260614-Fr8g,product,Printed,Product_Package,,2026-06-14T20:41:54.000Z,trays,2026-06-14T20:42:02.049Z,trays,2026-06-14T20:42:02.911Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\trays\label_2026-06-14T20-42-02-047Z_rec3Apbnp3txbFr8g.pdf
rec3CBNPYW3MeMSad,PRINT-260523-MSad,product,Printed,Product_Package,,2026-05-23T00:01:11.000Z,trays,2026-05-23T00:01:16.381Z,trays,2026-05-23T00:01:17.154Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\trays\label_2026-05-23T00-01-16-379Z_rec3CBNPYW3MeMSad.pdf
rec3JWM7XH23PE0B7,PRINT-260706-E0B7,lot,Printed,Bulk_Created,,2026-07-06T20:16:54.000Z,default,2026-07-06T20:17:04.796Z,default,2026-07-06T20:17:05.433Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-07-06T20-17-04-796Z_rec3JWM7XH23PE0B7.pdf
rec4AP6CWbWXiWEUC,PRINT-260713-WEUC,product,Printed,Product_Package_Sample,,2026-07-13T22:25:52.000Z,default,2026-07-13T22:26:02.830Z,default,2026-07-13T22:26:03.487Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-07-13T22-26-02-827Z_rec4AP6CWbWXiWEUC.pdf
rec4O4wBqtjjs88PZ,PRINT-260622-88PZ,steri_sheet,Printed,Sterilizer_Sheet,,2026-06-22T16:35:32.000Z,default,2026-06-22T16:35:36.201Z,default,2026-06-22T16:35:38.546Z,
rec5ZRpYHLEZkJc3F,PRINT-260618-Jc3F,product,Printed,Product_Package,,2026-06-18T19:49:42.000Z,default,2026-06-18T19:49:42.571Z,default,2026-06-18T19:49:46.465Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-06-18T19-49-42-570Z_rec5ZRpYHLEZkJc3F.pdf
rec5fyBzQR2YAFjQy,PRINT-260605-FjQy,product,Printed,Product_Package,,2026-06-05T19:30:25.000Z,default,2026-06-05T19:30:33.736Z,default,2026-06-05T19:30:36.406Z,C:\mushroomprocess\MushroomProcess\print-daemon\logs\default\label_2026-06-05T19-30-33-734Z_rec5fyBzQR2YAFjQy.pdf
