airtable_id,product_id,name_mat,item_category_mat,net_weight_g,net_weight_oz,net_volume_ml,pack_date,use_by,package_class,package_size,package_count,action,origin_lot_ids_json,process_type_mat,ui_error,ui_error_at,tray_state,notes,harvest_flush_no,harvest_weight_g,harvested_at,operator
rec1oPXxZMjaWscYG,PROD-260605-scYG,Wild Bird Seed,grain,907.18,32,,2026-06-05,2026-09-05,Retail,,,,"[""LOT-260523-oq7L""]",Sterilize,,,,,,,,
rec2qvnqKrXVMkNDo,PROD-260713-kNDo,Freeze Dried Mushrooms,freezedriedmushrooms,5,,,2026-07-13,2028-07-13,Sample,5 g,,,"[""LOT-260228-JqUB""]",,,,,,,,,
rec33PzqBO8ecfajT,PROD-260614-fajT,Freezer Tray,freezer_tray,75.94,,,2026-06-14,,Retail,,,,"[""recZBLsiYstYmydo8""]",,,,freezer_tray,,,,,
rec4dTuinZcyOxVz6,PROD-260713-xVz6,Freeze Dried Mushrooms,freezedriedmushrooms,5,,,2026-07-13,2028-07-13,Sample,5 g,,,"[""LOT-251113-doLo"",""LOT-251121-bq4J""]",,,,,,,,,
rec59yhQegq7TfaWK,PROD-260605-faWK,Wild Bird Seed,grain,907.18,32,,2026-06-05,2026-09-05,Retail,,,,"[""LOT-260523-Hr1i""]",Sterilize,,,,,,,,
rec5J0fB7IBmpDHOB,PROD-260614-DHOB,Freezer Tray,freezer_tray,118.61,,,2026-06-14,,Retail,,,,"[""recr9236mt5jjyAZc""]",,,,freezer_tray,,,,,
rec5dIDEmDxyXqMes,PROD-260713-qMes,Freeze Dried Mushrooms,freezedriedmushrooms,5,,,2026-07-13,2028-07-13,Sample,5 g,,,"[""LOT-260228-JqUB""]",,,,,,,,,
rec6x0ZDrIsMOpa6m,PROD-260618-pa6m,Small Masters Mix 75/25,fruiting_block,1360.78,48,,2026-06-18,2026-08-16,Retail,,,,"[""LOT-260516-1wJo""]",,,,,,,,,
rec75BIQxk9ymlmWO,PROD-260701-lmWO,Freezer Tray,freezer_tray,155.32,,,2026-07-01,,Sample,5 g,7,,"[""recesxUAkb8ra5bJ9""]",,,,empty_tray,,,,,
rec7av2XvqRHbtavK,PROD-260523-tavK,Freezer Tray,freezer_tray,209.02,,,2026-05-23,,Retail,,,,"[""rec6mV7zZFh2IfOgP""]",,,,freezer_tray,,,,,
